Sample	Unique Reads	Duplicate Reads
SRR19509095_1	5008.0	104843.0
SRR19509095_2	2489.0	107362.0
SRR19509096_1	4424.0	95774.0
SRR19509096_2	2421.0	97777.0
SRR19509097_1	4792.0	106156.0
SRR19509097_2	2262.0	108686.0
SRR19509098_1	4791.0	105784.0
SRR19509098_2	2549.0	108026.0
SRR19509099_1	6198.0	108268.0
SRR19509099_2	2624.0	111842.0
SRR19509100_1	5809.0	102529.0
SRR19509100_2	2693.0	105645.0
SRR19509101_1	6554.0	111087.0
SRR19509101_2	3187.0	114454.0
SRR19509102_1	5644.0	102139.0
SRR19509102_2	2602.0	105181.0
SRR19509103_1	4953.0	110860.0
SRR19509103_2	2468.0	113345.0
SRR19509104_1	3797.0	103480.0
SRR19509104_2	1951.0	105326.0
SRR19509105_1	5790.0	106228.0
SRR19509105_2	2558.0	109460.0
SRR19509106_1	4621.0	104413.0
SRR19509106_2	2177.0	106857.0
SRR19509107_1	4803.0	105716.0
SRR19509107_2	2070.0	108449.0
SRR19509108_1	5265.0	108793.0
SRR19509108_2	2368.0	111690.0
SRR19509109_1	3933.0	108751.0
SRR19509109_2	2066.0	110618.0
SRR19509110_1	4595.0	112975.0
SRR19509110_2	2142.0	115428.0
SRR19509111_1	5911.0	103001.0
SRR19509111_2	2369.0	106543.0
SRR19509112_1	5130.0	102016.0
SRR19509112_2	2307.0	104839.0
SRR19509113_1	5588.0	112093.0
SRR19509113_2	2291.0	115390.0
SRR19509114_1	5292.0	104434.0
SRR19509114_2	2338.0	107388.0
SRR19509115_1	4495.0	98480.0
SRR19509115_2	1913.0	101062.0
SRR19509116_1	5525.0	111559.0
SRR19509116_2	2401.0	114683.0
SRR19509117_1	4486.0	106669.0
SRR19509117_2	1861.0	109294.0
SRR19509118_1	4216.0	96889.0
SRR19509118_2	1969.0	99136.0
SRR19509119_1	5291.0	103714.0
SRR19509119_2	2264.0	106741.0
SRR19509120_1	6149.0	94628.0
SRR19509120_2	3607.0	97170.0
SRR19509121_1	5983.0	106703.0
SRR19509121_2	2502.0	110184.0
SRR19509122_1	5581.0	102993.0
SRR19509122_2	2344.0	106230.0
SRR19509123_1	5586.0	111907.0
SRR19509123_2	2480.0	115013.0
SRR19509124_1	5280.0	101195.0
SRR19509124_2	2303.0	104172.0
SRR19509125_1	6208.0	106568.0
SRR19509125_2	2568.0	110208.0
SRR19509126_1	3610.0	101170.0
SRR19509126_2	1746.0	103034.0
SRR19509127_1	5958.0	106356.0
SRR19509127_2	2528.0	109786.0
SRR19509128_1	4509.0	113431.0
SRR19509128_2	2220.0	115720.0
SRR19509129_1	5015.0	113277.0
SRR19509129_2	2208.0	116084.0
SRR19509130_1	5246.0	102770.0
SRR19509130_2	2201.0	105815.0
SRR19509131_1	5189.0	109571.0
SRR19509131_2	2943.0	111817.0
SRR19509132_1	7776.0	105206.0
SRR19509132_2	3293.0	109689.0
SRR19509133_1	4779.0	104432.0
SRR19509133_2	2225.0	106986.0
SRR19509134_1	6607.0	95202.0
SRR19509134_2	3475.0	98334.0
SRR19509135_1	7769.0	109279.0
SRR19509135_2	3433.0	113615.0
SRR19509136_1	3480.0	81036.0
SRR19509136_2	2346.0	82170.0
SRR19509137_1	5664.0	104737.0
SRR19509137_2	3717.0	106684.0
SRR19509138_1	4931.0	103544.0
SRR19509138_2	2757.0	105718.0
SRR19509139_1	6163.0	112439.0
SRR19509139_2	3494.0	115108.0
SRR19509140_1	5340.0	102431.0
SRR19509140_2	2636.0	105135.0
SRR19509141_1	4712.0	107649.0
SRR19509141_2	2627.0	109734.0
SRR19509142_1	6505.0	94305.0
SRR19509142_2	3890.0	96920.0
SRR19509143_1	5929.0	95416.0
SRR19509143_2	3461.0	97884.0
SRR19509144_1	8305.0	105160.0
SRR19509144_2	4311.0	109154.0
SRR19509145_1	8871.0	98519.0
SRR19509145_2	4557.0	102833.0
SRR19509146_1	7430.0	96504.0
SRR19509146_2	3297.0	100637.0
SRR19509147_1	4759.0	104560.0
SRR19509147_2	2841.0	106478.0
SRR19509148_1	4549.0	96689.0
SRR19509148_2	2539.0	98699.0
SRR19509149_1	6219.0	95422.0
SRR19509149_2	3000.0	98641.0
SRR19509150_1	6598.0	103564.0
SRR19509150_2	3475.0	106687.0
SRR19509151_1	5310.0	109061.0
SRR19509151_2	3115.0	111256.0
SRR19509152_1	8426.0	105766.0
SRR19509152_2	4977.0	109215.0
SRR19509153_1	6610.0	105270.0
SRR19509153_2	2890.0	108990.0
SRR19509154_1	6121.0	98909.0
SRR19509154_2	3725.0	101305.0
