Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR19509095_1	SRR19509095_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109851.0	27.4 Mbp	0.0	250.0	53.0	4.5589025134045205	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509095_2	SRR19509095_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109851.0	27.4 Mbp	0.0	250.0	50.0	2.26579639693767	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509096_1	SRR19509096_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100198.0	25 Mbp	0.0	250.0	52.0	4.415257789576638	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509096_2	SRR19509096_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100198.0	25 Mbp	0.0	250.0	50.0	2.4162158925327852	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509097_1	SRR19509097_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110948.0	27.7 Mbp	0.0	250.0	52.0	4.319140498251433	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509097_2	SRR19509097_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110948.0	27.7 Mbp	0.0	250.0	51.0	2.038792948047734	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509098_1	SRR19509098_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110575.0	27.6 Mbp	0.0	250.0	53.0	4.3328057879267465	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509098_2	SRR19509098_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110575.0	27.6 Mbp	0.0	250.0	51.0	2.305222699525209	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509099_1	SRR19509099_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114466.0	28.6 Mbp	0.0	250.0	53.0	5.41470829766044	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509099_2	SRR19509099_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114466.0	28.6 Mbp	0.0	250.0	53.0	2.2923837646113254	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509100_1	SRR19509100_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108338.0	27 Mbp	0.0	250.0	54.0	5.361922871014787	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509100_2	SRR19509100_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108338.0	27 Mbp	0.0	250.0	52.0	2.484816038693718	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509101_1	SRR19509101_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117641.0	29.4 Mbp	0.0	250.0	54.0	5.570336872348926	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509101_2	SRR19509101_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117641.0	29.4 Mbp	0.0	250.0	52.0	2.709089518110183	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509102_1	SRR19509102_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107783.0	26.9 Mbp	0.0	250.0	53.0	5.2364473061614545	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509102_2	SRR19509102_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107783.0	26.9 Mbp	0.0	250.0	53.0	2.4141098317916554	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509103_1	SRR19509103_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115813.0	28.9 Mbp	0.0	250.0	53.0	4.2767219569478385	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509103_2	SRR19509103_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115813.0	28.9 Mbp	0.0	250.0	51.0	2.131021560619274	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509104_1	SRR19509104_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107277.0	26.8 Mbp	0.0	250.0	54.0	3.5394352936789804	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509104_2	SRR19509104_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107277.0	26.8 Mbp	0.0	250.0	52.0	1.8186563755511433	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509105_1	SRR19509105_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112018.0	28 Mbp	0.0	250.0	54.0	5.168812155189344	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509105_2	SRR19509105_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112018.0	28 Mbp	0.0	250.0	54.0	2.2826688567908726	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR19509106_1	SRR19509106_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109034.0	27.2 Mbp	0.0	250.0	53.0	4.238127556541996	250.0	250	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
