Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR19509095_1	95.44109748659548	53.0	250.0	250	40.0	109851.0
SRR19509095_2	97.73420360306233	50.0	250.0	250	40.0	109851.0
SRR19509096_1	95.58474221042336	52.0	250.0	250	40.0	100198.0
SRR19509096_2	97.58378410746721	50.0	250.0	250	40.0	100198.0
SRR19509097_1	95.68085950174857	52.0	250.0	250	40.0	110948.0
SRR19509097_2	97.96120705195227	51.0	250.0	250	40.0	110948.0
SRR19509098_1	95.66719421207326	53.0	250.0	250	40.0	110575.0
SRR19509098_2	97.6947773004748	51.0	250.0	250	40.0	110575.0
SRR19509099_1	94.58529170233956	53.0	250.0	250	40.0	114466.0
SRR19509099_2	97.70761623538867	53.0	250.0	250	40.0	114466.0
SRR19509100_1	94.63807712898522	54.0	250.0	250	40.0	108338.0
SRR19509100_2	97.51518396130628	52.0	250.0	250	40.0	108338.0
SRR19509101_1	94.42966312765107	54.0	250.0	250	40.0	117641.0
SRR19509101_2	97.29091048188982	52.0	250.0	250	40.0	117641.0
SRR19509102_1	94.76355269383855	53.0	250.0	250	40.0	107783.0
SRR19509102_2	97.58589016820835	53.0	250.0	250	40.0	107783.0
SRR19509103_1	95.72327804305216	53.0	250.0	250	40.0	115813.0
SRR19509103_2	97.86897843938073	51.0	250.0	250	40.0	115813.0
SRR19509104_1	96.46056470632102	54.0	250.0	250	40.0	107277.0
SRR19509104_2	98.18134362444886	52.0	250.0	250	40.0	107277.0
SRR19509105_1	94.83118784481066	54.0	250.0	250	40.0	112018.0
SRR19509105_2	97.71733114320912	54.0	250.0	250	40.0	112018.0
SRR19509106_1	95.761872443458	53.0	250.0	250	40.0	109034.0
SRR19509106_2	98.00337509400737	51.0	250.0	250	40.0	109034.0
SRR19509107_1	95.6541409169464	53.0	250.0	250	40.0	110519.0
SRR19509107_2	98.12701888363087	51.0	250.0	250	40.0	110519.0
SRR19509108_1	95.38392747549493	54.0	250.0	250	40.0	114058.0
SRR19509108_2	97.92386329762051	53.0	250.0	250	40.0	114058.0
SRR19509109_1	96.50970856554613	52.0	250.0	250	40.0	112684.0
SRR19509109_2	98.16655425792482	51.0	250.0	250	40.0	112684.0
SRR19509110_1	96.09254061410223	54.0	250.0	250	40.0	117570.0
SRR19509110_2	98.17810665986221	51.0	250.0	250	40.0	117570.0
