"","size_based.Assemblage","size_based.m","size_based.Method","size_based.Order.q","size_based.qD","size_based.qD.LCL","size_based.qD.UCL","size_based.SC","size_based.SC.LCL","size_based.SC.UCL","coverage_based.Assemblage","coverage_based.SC","coverage_based.m","coverage_based.Method","coverage_based.Order.q","coverage_based.qD","coverage_based.qD.LCL","coverage_based.qD.UCL"
"1","SRR19509095",1,"Rarefaction",0,1,1,1,0.224327439701519,0.222392096180001,0.226262783223036,"SRR19509095",0.224327439701519,1,"Rarefaction",0,1,0.995921535020197,1.0040784649798
"2","SRR19509095",3723,"Rarefaction",0,230.387493048419,227.811518693624,232.963467403213,0.975999332478778,0.975488273305846,0.976510391651711,"SRR19509095",0.975999332550552,3723,"Rarefaction",0,230.387493330443,226.344354870661,234.430631790225
"3","SRR19509095",7446,"Rarefaction",0,292.672005066443,289.157852301507,296.186157831379,0.988038413833411,0.987694100437465,0.988382727229357,"SRR19509095",0.988038413906844,7446,"Rarefaction",0,292.672005583284,287.510187858828,297.833823307739
"4","SRR19509095",11169,"Rarefaction",0,328.222599621047,324.034626434635,332.410572807459,0.992296279385659,0.992038899221805,0.992553659549512,"SRR19509095",0.99229627934219,11169,"Rarefaction",0,328.222599178331,322.34515079958,334.100047557082
"5","SRR19509095",14892,"Rarefaction",0,352.58819706178,347.896652737958,357.279741385603,0.99440647223062,0.994198766723964,0.994614177737277,"SRR19509095",0.994406472186859,14892,"Rarefaction",0,352.588196479385,346.221270122481,358.955122836289
"6","SRR19509095",18615,"Rarefaction",0,370.92568685209,365.845145959382,376.006227744798,0.99564704730302,0.99546536459338,0.995828730012661,"SRR19509095",0.995647047302451,18615,"Rarefaction",0,370.925686843899,364.175400632467,377.675973055331
"7","SRR19509095",22338,"Rarefaction",0,385.51829163287,380.121533286897,390.915049978843,0.996463694244171,0.996294425003018,0.996632963485324,"SRR19509095",0.996463694259667,22338,"Rarefaction",0,385.518291932367,378.420986847675,392.615597017059
"8","SRR19509095",26061,"Rarefaction",0,397.542273955526,391.873015240777,403.211532670275,0.997048061993972,0.996884772816651,0.997211351171293,"SRR19509095",0.997048061995718,26061,"Rarefaction",0,397.542273996748,390.1056532072,404.978894786297
"9","SRR19509095",29784,"Rarefaction",0,407.670310732375,401.753753964149,413.586867500601,0.997492978864286,0.997333090051338,0.997652867677234,"SRR19509095",0.997492978877339,29784,"Rarefaction",0,407.670311044821,399.896290262647,415.444331826994
"10","SRR19509095",33507,"Rarefaction",0,416.321518339793,410.171759570399,422.471277109186,0.997847331505632,0.997689855233832,0.998004807777432,"SRR19509095",0.997847331505019,33507,"Rarefaction",0,416.321518320511,408.213740531794,424.429296109227
"11","SRR19509095",37229,"Rarefaction",0,423.775187921046,417.399883537583,430.150492304509,0.998138700729,0.997983078969911,0.998294322488089,"SRR19509095",0.998138700740309,37229,"Rarefaction",0,423.775188212916,415.338697317704,432.211679108128
"12","SRR19509095",40952,"Rarefaction",0,430.235936511826,423.638663427943,436.833209595708,0.998383981842071,0.998229606618531,0.99853835706561,"SRR19509095",0.998383981833494,40952,"Rarefaction",0,430.235936283507,421.473036985897,438.998835581117
"13","SRR19509095",44675,"Rarefaction",0,435.852017299168,429.033627790591,442.670406807745,0.998593916341084,0.99843999980749,0.998747832874678,"SRR19509095",0.998593916356631,44675,"Rarefaction",0,435.852017717795,426.756191692123,444.947843743466
"14","SRR19509095",48398,"Rarefaction",0,440.740378560825,433.699291957632,447.781465164018,0.998775946569449,0.998621548739617,0.998930344399281,"SRR19509095",0.998775946578552,48398,"Rarefaction",0,440.740378804713,431.286809884755,450.193947724672
"15","SRR19509095",52121,"Rarefaction",0,444.994374396844,437.726494193368,452.26225460032,0.99893546471738,0.998779564692976,0.999091364741783,"SRR19509095",0.998935464703928,52121,"Rarefaction",0,444.994374040994,435.124728097456,454.864019984532
"16","SRR19509095",55844,"Rarefaction",0,448.689901449845,441.188336692534,456.191466207157,0.999076546922992,0.998918102419454,0.99923499142653,"SRR19509095",0.999076546913197,55844,"Rarefaction",0,448.68990119872,438.280311726907,459.099490670533
"17","SRR19509095",59567,"Rarefaction",0,451.889440896034,444.144160469022,459.634721323046,0.999202377598908,0.999040353414778,0.999364401783038,"SRR19509095",0.999202377591571,59567,"Rarefaction",0,451.889440712768,440.655277303949,463.123604121587
"18","SRR19509095",63290,"Rarefaction",0,454.644857867634,446.642330645465,462.647385089802,0.999315509302873,0.999148876234771,0.999482142370976,"SRR19509095",0.999315509301297,63290,"Rarefaction",0,454.644857830218,442.197601979315,467.09211368112
"19","SRR19509095",67013,"Rarefaction",0,456.999418032053,448.722247983593,465.276588080513,0.999418032053004,0.999245746111204,0.999590317994803,"SRR19509095",0.999418032052997,67013,"Rarefaction",0,456.999188656528,443.239945612243,470.758431700814
"20","SRR19509095",67014,"Observed",0,457,448.72275347397,465.27724652603,0.999418058327706,0.999245770724152,0.999590345931259,"SRR19509095",0.999418058327706,67014,"Observed",0,457,443.240433586226,470.759566413774
"21","SRR19509095",67015,"Extrapolation",0,457.000581941672,448.723258936513,465.277904946831,0.999418084601221,0.999245795336005,0.999590373866438,"SRR19509095",0.999418084601221,67015,"Extrapolation",0,457.000581941672,443.24066354626,470.760500337084
"22","SRR19509095",70542,"Extrapolation",0,458.897965816472,450.340775543506,467.455156089437,0.999503747730858,0.999326219136194,0.999681276325521,"SRR19509095",0.999503747730858,70542,"Extrapolation",0,458.897965816472,443.940259337332,473.855672295613
"23","SRR19509095",74069,"Extrapolation",0,460.516037885465,451.657616508208,469.374459262722,0.999576800484837,0.999395395948766,0.999758205020908,"SRR19509095",0.999576800484837,74069,"Extrapolation",0,460.516037885466,444.457119213094,476.574956557838
"24","SRR19509095",77596,"Extrapolation",0,461.895915334215,452.714448367348,471.077382301082,0.999639099222773,0.999455217818832,0.999822980626713,"SRR19509095",0.999639099222773,77596,"Extrapolation",0,461.895915334214,444.846113762836,478.945716905593
"25","SRR19509095",81123,"Extrapolation",0,463.07266253235,453.547290823126,472.598034241573,0.999692227031609,0.99950718971722,0.999877264345999,"SRR19509095",0.999692227031609,81123,"Extrapolation",0,463.072662532348,445.146375227746,480.998949836951
"26","SRR19509095",84650,"Extrapolation",0,464.076182061981,454.18805858292,473.964305541042,0.999737533953793,0.999552531474068,0.999922536433518,"SRR19509095",0.999737533953793,84650,"Extrapolation",0,464.076182061981,445.382786823145,482.769577300817
"27","SRR19509095",88177,"Extrapolation",0,464.9319745788,454.664964352967,475.198984804632,0.999776171293496,0.999592245261038,0.999960097325955,"SRR19509095",0.999776171293496,88177,"Extrapolation",0,464.9319745788,445.571816622512,484.292132535088
"28","SRR19509095",91704,"Extrapolation",0,465.661786814853,455.00285043992,476.320723189785,0.999809120872665,0.999627162428622,0.999991079316708,"SRR19509095",0.999809120872665,91704,"Extrapolation",0,465.661786814853,445.724795152059,485.598778477647
"29","SRR19509095",95231,"Extrapolation",0,466.284164189537,455.223487520034,477.344840859041,0.999837219980309,0.999657977467068,1,"SRR19509095",0.999837219980309,95231,"Extrapolation",0,466.284164189538,445.849782934917,486.718545444159
"30","SRR19509095",98758,"Extrapolation",0,466.814922071338,455.345858806927,478.283985335749,0.999861182649037,0.999685273550638,1,"SRR19509095",0.999861182649037,98758,"Extrapolation",0,466.814922071339,445.952679400271,487.677164742406
"31","SRR19509095",102285,"Extrapolation",0,467.267547665635,455.386435343726,479.148659987544,0.999881617799501,0.999709542317709,1,"SRR19509095",0.999881617799501,102285,"Extrapolation",0,467.267547665634,446.037907182549,488.497188148719
"32","SRR19509095",105812,"Extrapolation",0,467.653542741049,455.359441692094,479.947643790004,0.999899044713807,0.999731199532352,1,"SRR19509095",0.999899044713807,105812,"Extrapolation",0,467.653542741049,446.108849532194,489.198235949903
"33","SRR19509095",109339,"Extrapolation",0,467.982715903419,455.277108846422,480.688322960416,0.999913906231112,0.999750597694451,1,"SRR19509095",0.999913906231112,109339,"Extrapolation",0,467.982715903419,446.168138980435,489.797292826404
"34","SRR19509095",112866,"Extrapolation",0,468.26343184444,455.149911020229,481.376952668651,0.999926580000702,0.999768036320711,1,"SRR19509095",0.999926580000702,112866,"Extrapolation",0,468.263431844439,446.217853410452,490.309010278427
"35","SRR19509095",116393,"Extrapolation",0,468.502823898689,454.986783802571,482.018863994808,0.999937388078527,0.999783770405326,1,"SRR19509095",0.999937388078527,116393,"Extrapolation",0,468.50282389869,446.259652740648,490.745995056731
"36","SRR19509095",119920,"Extrapolation",0,468.706975310359,454.795322324447,482.618628296272,0.999946605111033,0.999798017431443,1,"SRR19509095",0.999946605111033,119920,"Extrapolation",0,468.706975310359,446.294876462732,491.119074157987
"37","SRR19509095",123447,"Extrapolation",0,468.881073815915,454.58195913199,483.18018849984,0.99995446531426,0.999810963212368,1,"SRR19509095",0.99995446531426,123447,"Extrapolation",0,468.881073815916,446.32461472481,491.437532907023
"38","SRR19509095",126974,"Extrapolation",0,469.029543470809,454.3521222862,483.706964655419,0.999961168425564,0.999822766777389,1,"SRR19509095",0.999961168425564,126974,"Extrapolation",0,469.029543470809,446.349761121943,491.709325819676
"39","SRR19509095",130501,"Extrapolation",0,469.156157070128,454.110374774084,484.201939366172,0.999966884779181,0.999833564471129,1,"SRR19509095",0.999966884779181,130501,"Extrapolation",0,469.156157070129,446.371052570019,491.941261570239
"40","SRR19509095",134028,"Extrapolation",0,469.264132019917,453.860536655592,484.667727384243,0.999971759634633,0.999843473401285,1,"SRR19509095",0.999971759634633,134028,"Extrapolation",0,469.264132019917,446.389099881631,492.139164158203
"41","SRR19509095",1,"Rarefaction",1,1,1,1,0.224327439701519,0.222392096180001,0.226262783223036,"SRR19509095",0.224327439701519,1,"Rarefaction",1,1,0.996254645928669,1.00374535407133
"42","SRR19509095",3723,"Rarefaction",1,14.6449877042633,14.4546219606329,14.8353534478937,0.975999332478778,0.975488273305846,0.976510391651711,"SRR19509095",0.975999332550552,3723,"Rarefaction",1,14.6449877063433,14.4546572327596,14.835318179927
"43","SRR19509095",7446,"Rarefaction",1,15.0086442005487,14.8124512407025,15.2048371603949,0.988038413833411,0.987694100437465,0.988382727229357,"SRR19509095",0.988038413906844,7446,"Rarefaction",1,15.0086442028961,14.8140955656467,15.2031928401454
"44","SRR19509095",11169,"Rarefaction",1,15.1495911680681,14.951373101641,15.3478092344951,0.992296279385659,0.992038899221805,0.992553659549512,"SRR19509095",0.99229627934219,11169,"Rarefaction",1,15.1495911665484,14.9534226261572,15.3457597069396
"45","SRR19509095",14892,"Rarefaction",1,15.225430556621,15.0262031048319,15.4246580084102,0.99440647223062,0.994198766723964,0.994614177737277,"SRR19509095",0.994406472186859,14892,"Rarefaction",1,15.2254305549852,15.0281236874328,15.4227374225375
"46","SRR19509095",18615,"Rarefaction",1,15.2731071680247,15.073271461544,15.4729428745054,0.99564704730302,0.99546536459338,0.995828730012661,"SRR19509095",0.995647047302451,18615,"Rarefaction",1,15.2731071680051,15.0748570903266,15.4713572456835
"47","SRR19509095",22338,"Rarefaction",1,15.3059718805341,15.1057244351563,15.5062193259119,0.996463694244171,0.996294425003018,0.996632963485324,"SRR19509095",0.996463694259667,22338,"Rarefaction",1,15.3059718811661,15.1069549125095,15.5049888498227
"48","SRR19509095",26061,"Rarefaction",1,15.3300496015443,15.129502016725,15.5305971863635,0.997048061993972,0.996884772816651,0.997211351171293,"SRR19509095",0.997048061995718,26061,"Rarefaction",1,15.3300496016226,15.1304242304985,15.5296749727467
"49","SRR19509095",29784,"Rarefaction",1,15.3484671937219,15.1476896939112,15.5492446935326,0.997492978864286,0.997333090051338,0.997652867677234,"SRR19509095",0.997492978877339,29784,"Rarefaction",1,15.348467194266,15.1483610286094,15.5485733599226
"50","SRR19509095",33507,"Rarefaction",1,15.3630138872329,15.1620539173107,15.5639738571551,0.997847331505632,0.997689855233832,0.998004807777432,"SRR19509095",0.997847331505019,33507,"Rarefaction",1,15.3630138872016,15.1625229501391,15.5635048242641
"51","SRR19509095",37229,"Rarefaction",1,15.3747876155799,15.1736789252828,15.575896305877,0.998138700729,0.997983078969911,0.998294322488089,"SRR19509095",0.998138700740309,37229,"Rarefaction",1,15.3747876160286,15.1739819223163,15.5755933097409
"52","SRR19509095",40952,"Rarefaction",1,15.3845108153954,15.1832782310663,15.5857433997244,0.998383981842071,0.998229606618531,0.99853835706561,"SRR19509095",0.998383981833494,40952,"Rarefaction",1,15.3845108150587,15.1834401115391,15.5855815185783
"53","SRR19509095",44675,"Rarefaction",1,15.3926672214947,15.1913296275734,15.594004815416,0.998593916341084,0.99843999980749,0.998747832874678,"SRR19509095",0.998593916356631,44675,"Rarefaction",1,15.3926672220942,15.1913651204129,15.5939693237756
"54","SRR19509095",48398,"Rarefaction",1,15.3996003822139,15.1981724565469,15.6010283078809,0.998775946569449,0.998621548739617,0.998930344399281,"SRR19509095",0.998775946578552,48398,"Rarefaction",1,15.3996003825569,15.1980851354889,15.601115629625
"55","SRR19509095",52121,"Rarefaction",1,15.4055598160163,15.2040531903236,15.607066441709,0.99893546471738,0.998779564692976,0.999091364741783,"SRR19509095",0.998935464703928,52121,"Rarefaction",1,15.405559815519,15.2038310641285,15.6072885669096
"56","SRR19509095",55844,"Rarefaction",1,15.4107312932316,15.2091553387638,15.6123072476994,0.999076546922992,0.998918102419454,0.99923499142653,"SRR19509095",0.999076546913197,55844,"Rarefaction",1,15.4107312928791,15.208757834543,15.6127047512151
