	SRR19509095	SRR19509096	SRR19509097	SRR19509098	SRR19509099	SRR19509100	SRR19509101	SRR19509102	SRR19509103	SRR19509104	SRR19509105	SRR19509106	SRR19509107	SRR19509108	SRR19509109	SRR19509110	SRR19509111	SRR19509112	SRR19509113	SRR19509114	SRR19509115	SRR19509116	SRR19509117	SRR19509118	SRR19509119	SRR19509120	SRR19509121	SRR19509122	SRR19509123	SRR19509124	SRR19509125	SRR19509126	SRR19509127	SRR19509128	SRR19509129	SRR19509130	SRR19509131	SRR19509132	SRR19509133	SRR19509134	SRR19509135	SRR19509136	SRR19509137	SRR19509138	SRR19509139	SRR19509140	SRR19509141	SRR19509142	SRR19509143	SRR19509144	SRR19509145	SRR19509146	SRR19509147	SRR19509148	SRR19509149	SRR19509150	SRR19509151	SRR19509152	SRR19509153	SRR19509154
ASV_0001	26765	19830	22068	15692	12548	24073	27964	12414	33256	35300	20634	15966	17591	7516	33259	14783	13732	5097	10353	2842	6524	2285	6355	3941	6523	20148	15812	13699	27054	10685	13886	35172	30050	28581	25878	24023	1466	1595	4182	16250	2768	4514	187	2451	9617	33499	23582	16883	184	1827	1244	2228	1709	10024	4674	816	3666	1767	6975	9722
ASV_0002	16776	7469	10413	7036	1461	3096	3338	2961	13292	4970	1908	21296	14497	10984	7115	20967	5249	13833	10503	3065	2530	1998	1998	3778	2335	4427	17278	13119	19480	11954	14212	3692	15558	22035	18028	6601	575	593	2599	1792	926	16	11	593	78	2113	2324	2273	44	3047	4213	8615	395	1060	4615	343	6247	1699	2471	460
ASV_0003	0	289	24	0	155	266	199	673	295	1273	1256	1378	1582	848	35	4551	3139	5377	5953	5020	7910	10267	6063	19831	3702	711	788	959	912	1675	796	3630	568	601	650	391	768	633	87	420	408	0	91	0	0	0	67	787	522	4251	1881	5355	839	1764	8554	2303	11592	6771	726	33
ASV_0004	20	1241	21	29	26	84	32	18	147	199	151	217	287	176	1299	430	660	1103	1119	572	522	845	142	192	321	548	374	477	341	197	473	2638	732	1075	2133	1390	640	651	1261	593	750	15	1739	36	9	33	1774	574	15741	10913	3995	1611	28359	3866	1579	20235	2006	2290	785	11
ASV_0005	681	1038	3096	1767	2187	4086	2986	4066	884	2768	2231	3330	568	2506	1755	321	343	415	183	147	631	272	601	661	758	535	1141	597	424	588	1414	411	450	524	364	808	3271	1020	11404	1777	472	3767	49	1080	1742	2592	1522	974	0	203	216	184	627	207	256	236	139	214	1236	619
ASV_0006	632	406	1095	457	831	910	2173	815	1927	1080	1293	2113	3070	2127	2710	325	269	337	506	115	388	280	576	355	374	744	564	588	1041	529	604	764	949	773	1657	857	232	3879	710	1818	5219	1545	158	273	389	2591	1486	794	1023	714	637	534	2259	256	249	478	174	279	995	238
ASV_0007	33	201	43	29	61	146	83	133	141	362	674	335	471	212	136	1947	1146	1357	2655	2856	3133	3855	720	1416	571	446	245	395	261	350	280	286	123	74	150	47	426	308	385	211	286	702	99	26	526	179	408	419	623	481	1620	3553	2984	2862	2622	5591	4299	1230	496	28
ASV_0008	31	100	187	51	1779	1399	3773	5561	1625	1013	1072	2473	2943	1433	82	1094	2999	915	3574	6272	1720	792	1098	901	1242	200	909	702	831	1030	769	116	169	142	237	67	83	224	596	264	189	280	15	63	0	90	68	60	49	468	504	2229	52	71	241	81	355	143	179	13
ASV_0009	137	461	413	159	893	327	427	132	116	183	453	652	343	392	106	301	646	3904	1442	786	968	650	744	228	1224	849	401	458	314	326	368	251	148	244	153	114	15657	318	1723	234	70	1949	49	40	307	62	183	5602	45	84	88	90	140	875	688	743	708	759	2829	1927
ASV_0010	305	476	712	639	64	112	163	48	181	52	303	62	101	438	329	30	43	17	20	11	52	47	58	45	48	69	27	20	0	15	0	16	21	0	6	44	40	10625	2622	1273	2899	8184	644	576	9562	869	1864	58	620	890	900	571	394	157	362	146	349	201	80	0
ASV_0011	295	562	543	990	383	388	351	222	110	38	97	111	208	172	693	801	574	703	1022	401	274	152	80	132	110	155	4022	4178	2488	4001	3732	214	2469	1770	3603	708	241	199	263	113	199	249	0	112	0	186	178	136	0	695	160	553	72	440	727	248	2322	2048	622	115
ASV_0012	440	585	768	666	125	0	11	0	0	36	53	48	46	56	43	0	0	4	12	0	34	50	61	54	101	135	148	0	5	0	0	0	0	0	4	0	206	206	80	129	184	273	9659	23404	1833	629	1384	86	1070	197	873	121	268	90	118	226	93	738	113	31
ASV_0013	253	625	852	702	426	786	1137	345	409	287	255	478	103	205	885	85	34	42	12	0	93	38	147	50	62	125	19	57	105	32	32	25	19	20	0	22	369	1045	3053	720	1345	4197	312	642	7268	1265	4596	124	1078	4372	585	302	1174	147	272	121	123	410	96	100
ASV_0014	0	0	0	0	575	98	292	115	86	843	755	762	846	868	0	183	114	116	271	188	3540	2330	9371	3976	9562	39	857	153	457	238	602	1591	68	72	101	69	62	6	0	9	0	0	11	0	0	0	4	49	92	90	106	27	25	78	60	247	679	66	27	0
ASV_0015	49	108	134	121	77	75	280	198	71	128	187	135	141	92	200	323	195	354	454	368	777	979	313	302	268	381	51	123	82	85	86	204	23	21	39	112	315	2226	437	524	1528	2996	83	36	802	161	484	291	493	516	954	4527	4853	1697	2039	3466	3341	838	335	86
ASV_0016	515	728	836	780	0	0	28	13	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	94	23	20	0	28	0	8793	23393	2469	782	1034	0	826	0	0	0	9	0	0	0	0	0	0	0
ASV_0017	446	256	735	285	589	556	1376	487	1250	763	537	1262	2115	1268	1629	209	159	143	288	65	229	192	298	192	227	436	407	479	664	358	438	470	652	557	1260	591	91	2861	283	1264	3319	910	3	258	235	1822	878	546	7	316	258	349	112	75	74	84	72	105	541	119
ASV_0018	999	500	518	4626	132	86	26	221	31	40	142	98	145	180	131	304	401	459	659	590	224	267	138	560	279	137	2117	1698	684	3860	1403	473	1413	903	1198	1447	392	19	49	29	0	7	0	188	0	182	301	202	69	176	134	49	80	152	627	130	139	424	1318	816
ASV_0019	379	1230	976	962	141	229	141	101	57	45	98	79	68	172	274	330	405	395	498	496	131	76	114	67	138	3149	1198	1853	604	780	1209	716	1254	1048	821	1853	2990	23	62	26	32	150	0	99	0	195	217	831	14	145	43	162	22	104	192	113	199	375	2771	1290
ASV_0020	136	96	104	132	58	0	17	0	0	16	63	35	37	51	6	0	0	0	0	0	33	55	39	46	43	118	49	0	0	0	0	0	0	0	7	0	129	28	14	14	10	20	22360	2652	80	213	256	68	3372	29	41	35	51	112	85	60	64	205	104	167
ASV_0021	0	38	0	0	25	68	44	188	100	322	309	353	309	209	0	1181	650	1039	1066	1087	2196	2798	1150	5829	635	105	153	232	181	429	150	1002	137	156	142	107	128	93	0	87	82	0	0	0	0	0	0	110	159	475	474	1320	59	257	1447	379	1268	933	100	0
ASV_0022	1083	473	433	4216	63	64	20	130	0	14	78	55	87	105	111	175	236	208	286	301	115	73	36	247	100	89	1280	1629	596	3564	827	229	1094	605	899	1033	366	0	28	0	0	0	0	142	0	206	248	167	0	0	0	0	0	107	80	58	81	67	1284	642
ASV_0023	88	277	419	169	1424	1996	435	859	279	222	631	336	1163	3108	318	56	59	42	119	27	207	165	179	209	306	239	168	214	77	147	221	113	69	82	83	298	341	300	2301	594	589	1604	0	144	278	441	374	105	24	169	156	121	198	93	277	160	78	452	306	116
ASV_0024	0	9	22	8	537	10	636	52	3	3	78	4	0	286	9	0	2	0	19	5	0	9	10	26	10	17	17	4	15	0	5	0	4	0	71	5	38	113	49	2958	53	8983	8	0	3572	111	10	39	1407	579	560	42	457	4	92	3	4	1945	13	5
ASV_0025	293	368	284	496	826	3115	3450	2277	916	234	94	301	731	2154	45	159	20	61	145	30	187	112	200	172	161	210	133	362	303	261	161	88	70	100	112	202	260	21	143	8	0	153	0	49	16	103	104	89	0	0	0	0	17	24	46	20	38	44	320	81
ASV_0026	40	70	156	147	419	317	420	761	208	743	521	1010	391	473	76	660	652	1995	890	525	403	290	1331	332	2028	91	524	232	360	268	569	100	88	152	122	81	701	29	98	116	42	53	0	58	28	147	52	191	26	24	0	21	0	43	85	75	37	61	318	117
ASV_0027	0	30	0	0	55	37	80	70	49	187	188	181	233	148	37	947	357	579	846	802	1138	1588	783	1603	652	123	187	154	160	180	132	91	28	23	51	27	109	56	89	50	0	0	0	0	0	0	53	98	73	119	300	884	1144	836	1039	1369	1084	412	124	0
ASV_0028	213	396	942	232	68	159	106	121	116	172	495	103	283	358	147	479	490	310	855	505	365	203	283	115	253	402	217	179	158	172	240	297	280	158	784	808	2105	59	170	92	260	132	7	224	514	402	212	789	24	75	101	57	9	218	370	410	286	197	1031	174
